data,handel_i_rekreacja,sklepy_i_apteki,parki,przystanki,miejca_pracy,miejsca_zamieszkania
2020-10-13,-20,-10,-8,-31,-25,9
2020-10-12,-20,-7,16,-20,-14,5
2020-10-11,-34,-28,30,-30,-7,0
2020-10-10,-18,-11,8,-23,-11,3
2020-10-09,-15,-4,40,-22,-21,4
2020-10-08,-18,-6,28,-26,-22,5
2020-10-07,-16,-6,38,-22,-23,5
2020-10-06,-17,-8,20,-24,-22,6
2020-10-05,-17,-7,31,-13,-10,3
2020-10-04,-29,-29,24,-25,-8,-1
2020-10-03,-10,-12,126,-10,-5,-2
2020-10-02,-16,-7,29,-20,-20,4
2020-10-01,-15,-7,27,-22,-21,5
2020-09-30,-7,-3,60,-18,-23,3
2020-09-29,-12,-9,36,-23,-21,5
2020-09-28,-14,-7,34,-14,-10,3
2020-09-27,-37,-36,-32,-32,-12,1
2020-09-26,-12,-13,11,-18,-12,1
2020-09-25,-19,-12,6,-21,-23,4
2020-09-24,-16,-9,61,-23,-23,3
2020-09-23,-16,-10,83,-20,-24,3
2020-09-22,-13,-11,83,-22,-24,4
2020-09-21,-12,-7,75,-13,-14,1
2020-09-20,-8,-13,74,-20,-3,-6
2020-09-19,-11,-16,113,-15,-7,-4
2020-09-18,-13,-11,66,-20,-25,1
2020-09-17,-13,-10,58,-25,-26,3
2020-09-16,-11,-11,107,-21,-26,2
2020-09-15,-10,-12,92,-25,-24,3
2020-09-14,-11,-9,86,-15,-14,0
2020-09-13,-11,-15,76,-21,-1,-8
2020-09-12,-11,-17,131,-15,-7,-5
2020-09-11,-12,-10,74,-21,-30,0
2020-09-10,-9,-7,61,-23,-30,2
2020-09-09,-11,-9,80,-22,-31,2
2020-09-08,-12,-12,56,-25,-31,4
2020-09-07,-13,-9,42,-16,-22,1
2020-09-06,-18,-24,66,-26,-2,-4
2020-09-05,-14,-14,71,-20,-9,-1
2020-09-04,-16,-12,46,-23,-31,2
2020-09-03,-13,-10,49,-25,-32,4
2020-09-02,-13,-9,28,-22,-33,4
2020-09-01,-2,-6,42,-22,-34,6
2020-08-31,-5,-12,40,-20,-25,4
2020-08-30,42,NA,24,-13,16,-7
2020-08-29,-16,-21,116,-20,-7,-4
2020-08-28,-14,-14,65,-29,-35,3
2020-08-27,-10,-11,35,-32,-35,5
2020-08-26,-11,-13,27,-31,-35,5
2020-08-25,-8,-14,87,-31,-35,4
2020-08-24,-8,-11,80,-23,-26,2
2020-08-23,-20,-26,78,-25,5,-9
2020-08-22,-25,-24,46,-27,-12,-3
2020-08-21,-22,-18,90,-34,-37,1
2020-08-20,-13,-14,101,-33,-36,2
2020-08-19,-9,-11,NA,-32,-37,3
2020-08-18,-13,-15,61,-35,-37,5
2020-08-17,-7,-3,71,-22,-31,0
2020-08-16,-23,-22,82,-27,6,-13
2020-08-15,-60,-85,149,-38,-38,-4
2020-08-14,-16,2,68,-36,-46,1
2020-08-13,-10,-11,105,-33,-38,1
2020-08-12,-8,-11,117,-31,-38,2
2020-08-11,-9,-14,102,-35,-38,3
2020-08-10,-11,-12,57,-28,-29,1
2020-08-09,-36,-28,45,-33,4,-9
2020-08-08,-28,-24,114,-26,-9,-8
2020-08-07,-21,-17,95,-35,-38,1
2020-08-06,-13,-16,118,-35,-38,3
2020-08-05,-9,-13,125,-31,-37,3
2020-08-04,-11,-15,42,-36,-39,7
2020-08-03,-17,-16,-17,-31,-31,5
2020-08-02,-25,-23,72,-28,7,-10
2020-08-01,-26,-24,128,-25,-6,-8
2020-07-31,-18,-15,91,-33,-36,1
2020-07-30,-11,-13,105,-35,-37,3
2020-07-29,-10,-11,117,-32,-37,3
2020-07-28,-15,-17,97,-37,-37,5
